,text,real,text_no_link
1,"THANK YOU, WORKING HARD! #MAGA https://t.co/NytV20gopi",1.0,"THANK YOU, WORKING HARD! #MAGA"
2,"As I have said for a long time, dealing with China is a very expensive thing to do. We just made a great Trade Deal, the ink was barely dry, and the World was hit by the Plague from China. 100 Trade Deals wouldn’t make up the difference - and all those innocent lives lost!",1.0,"As I have said for a long time, dealing with China is a very expensive thing to do. We just made a great Trade Deal, the ink was barely dry, and the World was hit by the Plague from China. 100 Trade Deals wouldn’t make up the difference - and all those innocent lives lost!"
3,"When the so-called “rich guys” speak negatively about the market, you must always remember that some are betting big against it, and make a lot of money if it goes down. Then they go positive, get big publicity, and make it going up. They get you both ways. Barely legal?",1.0,"When the so-called “rich guys” speak negatively about the market, you must always remember that some are betting big against it, and make a lot of money if it goes down. Then they go positive, get big publicity, and make it going up. They get you both ways. Barely legal?"
4,Obama was always wrong! https://t.co/xRU4kJtExs,1.0,Obama was always wrong!
5,Does anybody believe this man? Caught! https://t.co/WfnIqs6BsE,1.0,Does anybody believe this man? Caught!
6,“Newly released documents show Schiff knew all along there was no proof of Russia-Trump collusion.” Wall Street Journal,1.0,“Newly released documents show Schiff knew all along there was no proof of Russia-Trump collusion.” Wall Street Journal
7,"Big Congressional win in California for Mike Garcia, taking back a seat from the Democrats. This is the first time in many years that a California Dem seat has flipped back to a Republican. Also, Tom Tiffany beat his Democrat rival BIG in Wisconsin. Two great Congressional WINS!",1.0,"Big Congressional win in California for Mike Garcia, taking back a seat from the Democrats. This is the first time in many years that a California Dem seat has flipped back to a Republican. Also, Tom Tiffany beat his Democrat rival BIG in Wisconsin. Two great Congressional WINS!"
8,"Women for Trump co-chair: Biden might not be 'ultimate nominee,' and Dems engaging in 'elder abuse' https://t.co/Cn8akDaNzO",1.0,"Women for Trump co-chair: Biden might not be 'ultimate nominee,' and Dems engaging in 'elder abuse'"
9,Fake @PulitzerPrizes must be taken back. These “journalists” got everything wrong. Give them to the real journalists who got it right! https://t.co/at2oRBwdOS,1.0,Fake @PulitzerPrizes must be taken back. These “journalists” got everything wrong. Give them to the real journalists who got it right!
10,Shifty Schiff exposed! https://t.co/PmZ6uPc2LQ,1.0,Shifty Schiff exposed!
11,"Big News: Tom Tiffany of the Great State of Wisconsin has just become Congressman Tom Tiffany. He will do a FANTASTIC job for the people of Wisconsin, and the United States. Congratulations!",1.0,"Big News: Tom Tiffany of the Great State of Wisconsin has just become Congressman Tom Tiffany. He will do a FANTASTIC job for the people of Wisconsin, and the United States. Congratulations!"
12,"As long as other countries are receiving the benefits of Negative Rates, the USA should also accept the “GIFT”. Big numbers!",1.0,"As long as other countries are receiving the benefits of Negative Rates, the USA should also accept the “GIFT”. Big numbers!"
13,"California should let Tesla & @elonmusk open the plant, NOW. It can be done Fast & Safely!",1.0,"California should let Tesla & @elonmusk open the plant, NOW. It can be done Fast & Safely!"
