,text,date,real,prediction,probability,correct
0,Nancy Pelosi says she got “set up” by a Beauty Parlor owner. Maybe the Beauty Parlor owner should be running the House of Representatives instead of Crazy Nancy?,2020-09-03 18:27:10,1,1.0,0.4134624586085056,True
1,"Many thousands of people work for our government. With that said, a former DISGRUNTLED EMPLOYEE named Miles Taylor, who I do not know (never heard of him), said he left & is on the open arms Fake News circuit. Said to be a real “stiff”. They will take anyone against us!",2020-08-18 12:30:45,1,1.0,0.09897712237509948,True
2,PRESIDENTIAL HARASSMENT!,2020-07-09 12:40:52,1,0.0,0.5314655483283572,False
3,China has caused great damage to the United States and the rest of the World!,2020-07-06 12:28:26,1,1.0,0.06732039576944937,True
4,"We had FAR more people (many millions) watching us at the RNC than did Sleepy Joe and the DNC, and yet an ad just ran saying the opposite. This is what we’re up against. Lies. But we will WIN!",2020-09-02 14:22:56,1,1.0,0.15727676229200493,True
5,New Hampshire will receive nearly $822K in @USDOT funds for bus service in the city of Nashua. Happy to support @RideBigBlue and keep the people of Nashua moving!,2020-08-12 18:43:29,1,1.0,0.1051736976544504,True
6,"Representatives of the Post Office have repeatedly stated that they DO NOT NEED MONEY, and will not make changes. This is all another HOAX by the Democrats to give 25 Billion unneeded dollars for political purposes,  without talking about the Universal Mail-In Ballot Scam....",2020-08-22 20:51:32,1,1.0,0.18389764334632008,True
7,"There is NO WAY a place like Pennsylvania can vote for the Radical Left and their puppet, Joe Biden, when they are against fracking, steel production, and just about everything else that Pennsylvania stands for. Likewise, Texas, and many other states!!!",2020-07-26 19:31:59,1,1.0,0.0930364005085369,True
8,"Do RINO’S Pat Toomey & Mitt Romney have any problem with the fact that we caught Obama, Biden, & Company illegally spying on my campaign? Do they care if Comey, McCabe, Page & her lover, Peter S, the whole group, ran rampant, wild & unchecked - lying & leaking all the way? NO!",2020-07-12 03:29:48,1,1.0,0.2867108308302717,True
9,"Success: Since the National Guard moved into Kenosha, Wisconsin, two days ago, there has been NO FURTHER VIOLENCE, not even a small problem. When legally asked to help by local authorities, the Federal Government will act and quickly succeed. Are you listening Portland?",2020-08-28 17:01:07,1,1.0,0.26893581149426427,True
10,"Heading to Kenosha, Wisconsin, to thank Law Enforcement and the National Guard for a job well done. The Violence stopped six days ago, the moment the Guard entered the picture. Thank you!",2020-09-01 15:09:40,1,1.0,0.14125842238541975,True
11,".@Scaramucci, who just made a fool of himself as he got taken apart by @SteveHiltonx, only lasted 11 days in his favorite of all time Administration, before being fired for, again, making a fool of himself. Anthony is a loser who begged to come back. I said “No Thanks”.",2020-08-10 01:45:34,1,0.0,0.71644783225122,False
12,Joe Biden delivered remarks to union members after spending 47 years giving their jobs to China and foreign countries in exchange for campaign cash...,2020-09-18 22:58:15,1,1.0,0.23975482155011163,True
13,Congratulations Prime Minister Yoshihide Suga. You have a great life story! I know you will do a tremendous job for Japan and for the world. Look forward to talking soon! @kantei @sugawitter,2020-09-17 18:16:56,1,1.0,0.055784693440753874,True
14,"The Democrats have stated strongly that they won’t approve a Payroll Tax Cut (too bad!). It would be great for workers. The Republicans, therefore, didn’t want to ask for it. Dems, as usual, are hurting the working men and women of our Country!",2020-07-23 16:09:48,1,1.0,0.05016290200873064,True
15,"My Campaign, despite all of the Fake News, Fake Books, and pathetic reporting written about me and it, has more spirit and enthusiasm than ever before, including the great and wonderful Campaign of 2016!",2020-08-29 12:01:37,1,1.0,0.13034623611507212,True
16,"Upon departing the Oval Office for Ohio, I’ve notified my staff to continue working on an Executive Order with respect to Payroll Tax Cut, Eviction Protections, Unemployment Extensions, and Student Loan Repayment Options.",2020-08-06 15:56:39,1,1.0,0.45726226696705563,True
17,Vaccines are moving along fast and safely!,2020-09-16 14:09:13,1,1.0,0.21909694604830776,True
18,"Biden and the Democrats have greatly disrespected the Great State of Wisconsin by not even paying a small visit to Milwaukee, the designated site of the DNC. The State & City worked very hard to make sure things would be good. Not nice. Vote Trump Wisconsin!",2020-08-22 11:36:56,1,1.0,0.14491617106127908,True
19,"We are advertising all over the place, but as much as we do, the Fake News likes to say we aren’t. Just being smart. We have much more money than we had at same time in 2016. Also spending on other, and different, elements of the campaign. Starting to get great poll numbers!",2020-09-15 13:49:33,1,1.0,0.06746218949360305,True
20,On Air Force One heading to Wisconsin. Biden refused to go there to apologize for not showing up for the failed Democrat Convention. So funny to watch the Fake News fawning over Sleepy Joe’s ridiculous “car press conference”. Pathetic!,2020-09-17 23:36:12,1,1.0,0.07344247192959463,True
21,"When you see the Drug Companies taking massive  television ads against me, forget what they say (which is false), YOU KNOW THAT DRUG PRICES ARE COMING DOWN, BIG. Favored Nations Clause means USA will pay the lowest price of any nation in the World. Never done before. Watch!!!",2020-08-02 12:01:39,1,1.0,0.2855005143003908,True
22,Democrats want to Defund & Abolish Police. This despite poor crime numbers in cities that they run. CRAZY!,2020-07-05 21:29:36,1,1.0,0.19116618077752445,True
