,index,text,id,date,real,link,user
0,334,GREAT NEWS!! Just found out my credit score is 350! Thats the highest score its EVER BEEN! Higher than anyone!  350 also happens to be the SAME score that I got on my SAT test for colledge! Which means I'm SMART! AND STABEL!,1.248023872110297e+18,2020-04-08 23:04:12,0.0,0,p
1,187,Biden and the Democrats want to get rid of the Private Healthcare Plans for 180 MILLION Americans that are happy. They’ll be put on socialized medicine!,1.3066629327140086e+18,2020-09-17 18:34:54,1.0,0,r
2,80,"The big Unsolicited Ballot States should give it up NOW, before it is too late, and ask people to go to the Polling Booths and, like always before, VOTE. Otherwise, MAYHEM!!! Solicited Ballots (absentee) are OK. @foxandfriends",1.3065598536834458e+18,2020-09-17 11:45:18,1.0,0,r
3,285,"John Bolton is LYEING! He says I asked Kelly if Finland was part of Russia! I NEVER ASKED THAT! I'm the president! So I know Finland isn't even near Russia! And when I asked Kelly if Finland was part of Russia, I was asking about the OTHER Finland!! The one that boarders America!",1.273370716851835e+18,2020-06-17 21:43:31,0.0,0,p
4,444,"We will have enough vaccine for every American by April, but only if you were at church last Easter!",1.3070591272989942e+18,2020-09-18 20:49:14,0.0,0,p
5,365,VERY Happy to anounce that the FAMOUS defense attorney Alan Dershowitz will defend ME at MY impeachment! Dershowitz defended murderers like OJ Simpson and sex offenders like Jeffrey Epstein! He ONLY defends the WORST scum on this planet! He's the perfect person to defend ME!,1.2185912633158943e+18,2020-01-18 17:49:32,0.0,0,p
6,205,Vaccines are moving along fast and safely!,1.3062336834021622e+18,2020-09-16 14:09:13,1.0,0,r
7,566,"Roger Stone knows exactly what it will take for me to win in 2020. If the Post Office is somehow still operational, I must cancel the election and make sure the votes cannot be counted!",1.3050813187458048e+18,2020-09-13 09:50:08,0.0,0,p
8,420,The story by Axios is FAKE NEWS! I NEVER said I want to use a nuclear bomb on a hurricane before it reaches the shoar!! That's a stupid idea! I said I want to use TWENTY nuclear bombs on a hurricane! That would vaporize the hurricane AND serve as a deterrent to other hurricanes!,1.166117674788819e+18,2019-08-26 22:38:13,0.0,0,p
9,547,"I am willing to challenge Joe Biden to a 4-hour debate or until my diaper fills up or all the drugs fall out of my nose, whichever comes first! #JoeRoganDebate",1.3055230902444892e+18,2020-09-14 15:05:34,0.0,0,p
